,link,title,name,price,category,sex
52,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-blue-beast-rapid-dry-typography-tshirts/17861240/buy,HRX by Hrithik Roshan,HRX By Hrithik Roshan Training Men BLUE BEAST Rapid-Dry Typography Tshirts,494,topwear,Men
53,https://www.myntra.com/shirts/turtle/turtle-men-blue-slim-fit-printed-semiformal-shirt/19094390/buy,Turtle,Men Blue Slim Fit Printed Semiformal Shirt,1799,topwear,Men
54,https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-navy-blue-slim-fit-solid-casual-shirt/2444698/buy,Mast &amp; Harbour,Men Navy Blue Slim Fit Solid Casual Shirt,1099,topwear,Men
55,https://www.myntra.com/shirts/roadster/roadster-men-grey-regular-fit-solid-sustainable-casual-shirt/11326024/buy,Roadster,Men Grey Regular Fit Solid Sustainable Casual Shirt,935,topwear,Men
56,https://www.myntra.com/shirts/wrogn/wrogn-men-green-slim-fit-solid-casual-shirt/13673088/buy,WROGN,Men Green Slim Fit Solid Casual Shirt,1487,topwear,Men
57,https://www.myntra.com/shirts/arrow/arrow-men-purple-casual-shirt/19162702/buy,Arrow,Men Purple Casual Shirt,1499,topwear,Men
58,https://www.myntra.com/sweatshirts/fame-forever-by-lifestyle/fame-forever-by-lifestyle-men-yellow-sweatshirt/19189504/buy,Fame Forever by Lifestyle,Men Yellow Sweatshirt,1349,topwear,Men
59,https://www.myntra.com/shirts/roadster/roadster-men-navy-blue--red-pure-cotton-tartan-checks-checked-casual-shirt/14625038/buy,Roadster,Men Navy Blue &amp; Red Pure Cotton Tartan Checks Checked Casual Shirt,458,topwear,Men
60,https://www.myntra.com/kurtas/ode-by-house-of-pataudi/ode-by-house-of-pataudi-women-pink-cotton-floral-printed-rozana-fit--flare-kurta/15177320/buy,Ode by House of Pataudi,Women Pink Cotton Floral Printed Rozana Fit &amp; flare Kurta,899,topwear,Women
61,https://www.myntra.com/tshirts/highlander/highlander-men-maroon-solid-henley-neck-pure-cotton-t-shirt/1847923/buy,HIGHLANDER,Men Maroon Solid Henley Neck Pure Cotton T-shirt,468,topwear,Men
62,https://www.myntra.com/tshirts/dillinger/dillinger-women-lavender-typography-printed-pure-cotton-loose-t-shirt/19235046/buy,DILLINGER,Women Lavender Typography Printed Pure Cotton Loose T-shirt,599,topwear,Women
63,https://www.myntra.com/tshirts/us-polo-assn/u-s-polo-assn-men-navy-blue--white-striped-t-shirt/16266762/buy,U.S. Polo Assn.,U S Polo Assn Men Navy Blue &amp; White Striped T-shirt,949,topwear,Men
64,https://www.myntra.com/shirts/marks--spencer/marks--spencer-women-grey-relaxed-linen-shirt/19293098/buy,Marks &amp; Spencer,Women Grey Relaxed Linen Shirt,2249,topwear,Women
65,https://www.myntra.com/tops/gufrina/gufrina-beige-floral-print-peplum-longline-top/19362058/buy,GUFRINA,Beige Floral Print Peplum Longline Top,809,topwear,N.A.
